Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Robert Swift,,1.1,0.7,0,-0.2,NA,NA
Hank Beenders,77.1,1.1,0.9,-0.1,NA,NA,NA
Daniel Santiago,76.3,1.2,0.6,0,0,NA,NA
Rich Johnson,76.1,1.2,0.9,0.1,NA,NA,NA
Keith Closs,75.7,1.1,0.6,0.2,NA,NA,NA
Josh Harrellson,72.5,1.4,0.7,0,NA,NA,NA
Bernard James,68.8,1.2,0.5,0.1,NA,NA,NA
Gene Tormohlen,66.3,1.4,0.8,0.1,0,0,0
Robert Sacre,66.0,1.4,0.8,0.3,-0.1,NA,NA
Žan Tabak,64.4,1.1,0.9,0.2,0.1,0.1,0
Roger Brown,58.6,0.9,0.7,0.4,0.2,0.1,NA
