Thru 9 Years,Thru 9 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9
Larry Steele,,5.7,5.2,4.8,3.6,3,2,1.9,1.6,0.5
Derek Fisher,91.7,5.5,5.2,3.8,3.7,3.1,2.4,1.8,1.7,1.1
Hubert Davis,90.6,5.6,4.8,4.2,3.4,2.5,2.2,1.6,1.2,0.1
Chucky Atkins,90.5,5.1,4.9,4.5,3.6,2.8,2.7,2.4,1.5,0.3
Adrian Smith,90.4,6.1,5.2,5.1,4.4,3.4,2.6,1.9,1.8,0.8
Walt Hazzard,89.2,5.4,5.3,5,4.5,3.3,2.5,2.2,1.1,0.2
Gerald Henderson,89.1,6.2,5.3,3.7,3.6,2.9,2.3,2.2,1.7,1.3
Tyreke Evans,88.9,5.4,4.6,4.4,4.2,3.1,2.7,1.6,1.4,0.7
Craig Hodges,88.5,6,5.3,4.3,2.9,2.6,2.4,1.7,0.8,0.5
Odie Spears,88.5,5.6,5.2,4.7,3.8,3.3,3.1,2,NA,NA
John Long,88.0,5.3,4.7,3.6,3.6,3.3,2.4,2.1,2,0.2
