Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12
Larry Steele,,5.7,5.2,4.8,3.6,3,2,1.9,1.6,0.5,NA,NA,NA
Patty Mills,90.4,5.6,5.1,4.8,4.1,3.5,1.5,1.4,0.9,0.7,0,NA,NA
Ricky Davis,89.8,5.7,5,4.4,4.2,3,2.8,1.9,1.1,0.2,0.2,0.1,-0.4
Chucky Atkins,89.7,5.1,4.9,4.5,3.6,2.8,2.7,2.4,1.5,0.3,0.2,-0.2,NA
Hubert Davis,89.1,5.6,4.8,4.2,3.4,2.5,2.2,1.7,1.6,1.2,0.5,0.1,-0.1
Walt Hazzard,89.0,5.4,5.3,5,4.5,3.3,2.5,2.2,1.1,0.6,0.2,NA,NA
Odie Spears,88.5,5.6,5.2,4.7,3.8,3.3,3.1,2,NA,NA,NA,NA,NA
Tyreke Evans,88.2,5.4,4.6,4.4,4.2,3.1,2.7,1.6,1.4,0.7,0.3,NA,NA
Foots Walker,86.9,6.1,5.2,4.2,3.4,3.4,3,2.3,1.5,1.5,0.3,NA,NA
Kevin Grevey,86.8,5.8,4.4,3.6,3.4,3.3,2.1,2,1,0.7,0.1,NA,NA
Craig Hodges,86.8,6,5.3,4.3,2.9,2.6,2.4,1.7,0.8,0.8,0.5,NA,NA
