,,,,,,,Position Estimate,Position Estimate,Position Estimate,Position Estimate,Position Estimate,+/- Per 100 Poss.,+/- Per 100 Poss.,Turnovers,Turnovers,Fouls Committed,Fouls Committed,Fouls Drawn,Fouls Drawn,Misc.,Misc.,Misc.
Season,Age,Tm,Lg,Pos,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd
2006-07,23,MIN,NBA,PF,82,1537,,,2%,97%,2%,-4.9,-1.1,19,15,109,23,96,24,110,26,43
2007-08,24,MIN,NBA,PF,77,1547,,,,71%,29%,-7.7,-0.3,20,23,106,27,107,11,134,33,61
2008-09,25,MIN,NBA,PF,74,1460,,,4%,92%,4%,-6.5,-1.3,17,44,89,18,126,7,177,27,39
2009-10,26,LAC,NBA,PF,75,1232,,,,93%,7%,-4.6,+3.4,16,30,101,26,103,16,196,17,45
2010-11,27,LAC,NBA,PF,48,586,,,2%,96%,2%,-5.5,-2.2,6,3,43,17,34,3,68,8,17
2011-12,28,POR,NBA,PF,47,464,,,,94%,6%,-8.5,-8.7,4,6,34,4,25,1,42,5,13
Career,,,NBA,,403,6826,,,1%,89%,10%,-6.1,-0.8,82,121,482,115,491,62,727,116,218
,,,,,,,,,,,,,,,,,,,,,,
3 seasons,,MIN,NBA,,233,4544,,,2%,86%,12%,-6.4,-0.9,56,82,304,68,329,42,421,86,143
2 seasons,,LAC,NBA,,123,1818,,,1%,94%,5%,-4.9,+1.6,22,33,144,43,137,19,264,25,62
1 season,,POR,NBA,,47,464,,,,94%,6%,-8.5,-8.7,4,6,34,4,25,1,42,5,13
