Thru 6 Years,Thru 6 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Craig Smith,,3.9,3.5,3.1,3,1.5,1
Al-Farouq Aminu,94.8,4,3.3,3.1,3.1,1.4,0.7
Ronny Turiaf,93.4,4.2,3.6,3.2,3.1,1.4,0.4
Willie Norwood,92.2,3.8,3.5,3.3,3,2.6,1.1
Dwight Jones,89.8,3.9,3.8,3.1,2.9,2.6,1.3
Terry Catledge,89.5,3.6,3.5,3.3,2.5,1.7,1.6
Rodney Rogers,88.4,3.9,3.3,2.9,2.3,2,1.2
J.R. Reid,88.1,3.5,3.4,3,2.1,1.8,1.1
Antoine Carr,87.9,3.8,3.5,3.3,2.2,2.1,0.7
Ron Anderson,87.8,4.4,3.8,3.1,2.5,1.5,0.3
Glen Gondrezick,86.6,3.6,3.1,3.1,2.7,2.5,0.9
