Thru 10 Years,Thru 10 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10
Ken Norman,,5.2,4.8,4,4,3.2,2.9,1.9,1.1,0.6,-0.6
Al-Farouq Aminu,89.9,5.8,4.2,4,3.3,3.1,3.1,1.9,1.4,0.7,NA
Austin Croshere,89.8,5.4,4.1,4.1,3.4,3.2,2.6,2,1.3,0.3,0
Malik Rose,88.9,5.2,4.4,3.8,3.4,3.3,2.6,2.6,1.1,0.5,0.4
Al Harrington,87.4,5.9,5.4,4.3,3.9,3.8,2.6,1.6,1.2,1,-0.2
Marcus Morris,87.4,5.4,4.5,4.2,4,3.9,3.2,1.8,-0.2,NA,NA
Billy Owens,87.2,5.7,5.6,3.7,3.2,3.2,2.8,2.2,1.2,0.8,0.2
Phil Hubbard,86.9,5.7,4.6,4.5,3.4,3.3,2.7,2.6,1.6,0.4,0.2
Luc Mbah a Moute,86.8,4.8,4.7,4,3.1,2.8,2.4,1.6,1.1,1,0.5
Phil Jackson,86.6,5.6,4.8,4.2,3.2,2.5,2.5,1.7,0.9,0.8,0.5
Walt Williams,86.2,5.4,5.1,5.1,4.4,3.7,3,2.2,1.7,1.6,-0.7
