,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,FT,FTA,TRB,AST,PF,PTS
1946-47,25,PHW,BAA,,16,,14,,,,,41
1947-48,26,PHW,BAA,,14,,13,,,,,37
1948-49,27,PHW,BAA,,27,,15,18,,,,63
1949-50,28,PHW,NBA,,13,,11,14,,,,32
1950-51,29,PHW,NBA,,12,,18,19,,,,37
1951-52,30,PHW,NBA,,14,,9,12,,,,36
1952-53,31,PHW,NBA,,13,,8,9,,,6,29
1953-54,32,PHW,NBA,,6,,7,,,,4,12
Career,,,TOT,,27,,18,,,,,63
,,,NBA,,14,,18,,,,,37
,,,BAA,,27,,15,,,,,63
,,,,,,,,,,,,
