Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
Joe Fulks,,16.3,7.7,6,4.3,-0.6,-0.8,-1.8,-1.8
Bob Feerick,66.1,18.6,10.5,8.9,3.6,NA,NA,NA,NA
Otto Porter,49.4,9.4,8.1,5.6,3.2,2.7,0,NA,NA
Goose Ligon,46.0,9.9,9.7,6.5,6.3,2.4,1,0.3,NA
Fred Schaus,45.4,8.5,8.4,6.8,4,3.7,NA,NA,NA
Donald Sidle,44.8,9.7,5.9,5.6,1.9,NA,NA,NA,NA
John Shumate,44.4,7.7,6.5,6.3,3.5,0.5,NA,NA,NA
Doug Moe,41.9,9.4,5.2,4.8,4.3,1.8,NA,NA,NA
Draymond Green,40.6,11.1,8.5,8.2,6.1,4.5,4.3,0.6,NA
Giannis Antetokounmpo,39.5,14.4,12.4,11.9,7.1,6.2,1.2,NA,NA
Julian Hammond,39.3,6.7,6.6,5.7,5.1,0.8,NA,NA,NA
