Thru 8 Years,Thru 8 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
Joe Fulks,,16.3,7.7,6,4.3,-0.6,-0.8,-1.8,-1.8
Bob Feerick,66.1,18.6,10.5,8.9,3.6,NA,NA,NA,NA
Gerald Wallace,51.5,9.5,7.7,6.4,4.6,2.4,0.9,0.6,0.4
Otto Porter,49.4,9.4,8.1,5.6,3.2,2.7,0,NA,NA
Jermaine O'Neal,48.2,10.5,9,6.4,6.4,2.1,1.2,0.8,0.8
Paul Silas,47.2,11,6.9,6.7,3.3,3.3,1.8,1.2,0.5
Antonio McDyess,46.7,9.4,7.8,6.2,4.2,3.6,1.8,1.2,0.8
Goose Ligon,46.0,9.9,9.7,6.5,6.3,2.4,1,0.3,NA
Fred Schaus,45.4,8.5,8.4,6.8,4,3.7,NA,NA,NA
Donald Sidle,44.8,9.7,5.9,5.6,1.9,NA,NA,NA,NA
Nenê Hilário,44.7,10.8,9.3,6.1,5.3,5,3.2,0.3,-0.1
