Season,Team,Lg,Salary
1990-91,Golden State Warriors,NBA,"$505,000"
1991-92,Sacramento Kings,NBA,"$504,000"
1992-93,Sacramento Kings,NBA,"$504,000"
1993-94,Sacramento Kings,NBA,"$504,000"
Career,(may be incomplete),,"$2,017,000"
