Season,Team,Lg,Salary
1995-96,Golden State Warriors,NBA,"$2,473,000"
1996-97,Golden State Warriors,NBA,"$2,794,000"
1997-98,Golden State Warriors,NBA,"$3,165,160"
1998-99,Minnesota Timberwolves,NBA,"$1,750,000"
1999-00,Minnesota Timberwolves,NBA,"$2,100,000"
2000-01,Detroit Pistons,NBA,"$2,250,000"
2001-02,Minnesota Timberwolves,NBA,"$4,538,000"
2002-03,Minnesota Timberwolves,NBA,"$4,991,800"
2003-04,Milwaukee Bucks,NBA,"$5,445,600"
2004-05,Milwaukee Bucks,NBA,"$5,899,400"
2005-06,Milwaukee Bucks,NBA,"$6,353,200"
2006-07,Philadelphia 76ers,NBA,"$6,807,000"
2007-08,Cleveland Cavaliers,NBA,"$5,200,000"
2008-09,Oklahoma City Thunder,NBA,"$4,795,000"
2009-10,Atlanta Hawks,NBA,"$1,306,455"
2010-11,Los Angeles Lakers,NBA,"$1,352,181"
Career,(may be incomplete),,"$61,220,796"
