Thru 3 Years,Thru 3 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3
Ron Baker,,0.5,-0.1,-0.1
Michael Wilson,66.2,0.4,-0.1,-0.1
Joe Young,58.8,0.5,-0.1,-0.1
Rich Rinaldi,49.3,0.4,0,-0.2
Troy Hudson,48.1,0.5,0,-0.2
Jaren Jackson,37.9,0.4,0.1,-0.1
Stephen Graham,37.7,0.4,0,-0.1
Andre Barrett,34.1,0.4,0,-0.1
Darrun Hilliard,30.2,0.5,0,-0.2
Rick Brunson,25.4,0.6,-0.1,-0.2
Paul McCracken,24.8,0.5,0,0
