Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3
Ron Baker,,0.5,-0.1,-0.1
Michael Wilson,66.2,0.4,-0.1,-0.1
Joe Young,58.8,0.5,-0.1,-0.1
Rich Rinaldi,49.3,0.4,0,-0.2
Darrun Hilliard,30.2,0.5,0,-0.2
Paul McCracken,24.8,0.5,0,0
Clay Johnson,10.5,0.6,0.1,0
Carl Thomas,10.5,0.7,0,0
Corey Beck,7.0,0.4,0.2,-0.1
Frank Williams,2.3,0.3,-0.1,-0.2
Billy Thomas,2.0,0.4,0.2,-0.1
