,,,,,,,Position Estimate,Position Estimate,Position Estimate,Position Estimate,Position Estimate,+/- Per 100 Poss.,+/- Per 100 Poss.,Turnovers,Turnovers,Fouls Committed,Fouls Committed,Fouls Drawn,Fouls Drawn,Misc.,Misc.,Misc.
Season,Age,Tm,Lg,Pos,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd
2016-17,23,NYK,NBA,SG,52,857,3%,56%,41%,,,-3.1,+1.0,36,14,35,2,15,10,248,4,16
2017-18,24,NYK,NBA,SG,29,385,7%,74%,19%,,,+2.5,+7.1,13,2,13,0,4,2,104,0,1
2018-19,25,TOT,NBA,SG,15,152,11%,59%,30%,,,-5.9,+0.2,3,1,6,1,1,4,36,0,1
2018-19,25,NYK,NBA,SG,11,107,16%,62%,22%,,,-1.3,+8.2,2,0,4,1,1,4,30,0,1
2018-19,25,WAS,NBA,SG,4,45,,51%,49%,,,-17.2,-14.4,1,1,2,0,0,0,6,0,0
Career,,,NBA,,96,1394,5%,61%,34%,,,-1.8,+2.6,52,17,54,3,20,16,388,4,18
,,,,,,,,,,,,,,,,,,,,,,
3 seasons,,NYK,NBA,,92,1349,5%,62%,33%,,,-1.3,+3.3,51,16,52,3,20,16,382,4,18
1 season,,WAS,NBA,,4,45,,51%,49%,,,-17.2,-14.4,1,1,2,0,0,0,6,0,0
