,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1970-71,25,BOS,NBA,,6,,,,,,4,9,,,,,,,,,12
1971-72,26,BOS,NBA,,4,,,,,,2,5,,,,,,,,,10
1972-73,27,SDA,ABA,,7,,0,,,,3,6,,,,,,,,,14
Career,,,TOT,,7,,,,,,4,9,,,,,,,,,14
,,,NBA,,6,,,,,,4,9,,,,,,,,,12
,,,ABA,,7,,0,,,,3,6,,,,,,,,,14
,,,,,,,,,,,,,,,,,,,,,
1 Season,,SDA,ABA,,7,,0,,,,3,6,,,,,,,,,14
2 Seasons,,BOS,NBA,,6,,,,,,4,9,,,,,,,,,12
