Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Garfield Smith,,1,-0.1,-0.2,NA,NA
Loren Meyer,54.5,1.1,-0.3,-0.3,NA,NA
Luke Witte,53.6,1,0.1,0.1,NA,NA
Mike Peplowski,45.8,0.9,0.1,0,NA,NA
Wallace Bryant,45.0,1.3,0,0,NA,NA
Don Martin,41.7,1.6,-0.1,-0.2,NA,NA
Chris Johnson,34.2,1,0.2,0.2,NA,NA
Paul Ruffner,31.1,0.9,0.1,0,0,0
Ronald Taylor,28.3,1.7,0,-0.2,NA,NA
Eric Mobley,19.3,1.3,0.2,-0.4,NA,NA
Bernard James,15.1,1.2,0.5,0.1,NA,NA
