Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48
1970-71,25,BOS,NBA,C,37,281,7.6,0.377,NA,0.483,NA,NA,14.6,3.9,NA,NA,NA,NA,NA,-0.6,0.4,-0.2,-0.035
1971-72,26,BOS,NBA,PF,26,134,8.9,0.389,NA,0.47,NA,NA,12.6,7.9,NA,NA,NA,NA,NA,-0.3,0.2,-0.1,-0.038
1972-73,27,SDA,ABA,C,71,1055,8.7,0.456,0,0.381,12.5,15.9,14.1,4.8,NA,NA,10.4,11.4,NA,-0.5,1.5,1,0.046
Career,NA,,TOT,,134,1470,8.5,0.424,0,0.423,12.5,15.9,14.1,4.9,NA,NA,10.4,11.4,NA,-1.5,2.2,0.7,0.023
,NA,,ABA,,71,1055,8.7,0.456,0,0.381,12.5,15.9,14.1,4.8,NA,NA,10.4,11.4,NA,-0.5,1.5,1,0.046
,NA,,NBA,,63,415,8,0.381,NA,0.478,NA,NA,13.9,5.2,NA,NA,NA,NA,NA,-1,0.7,-0.3,-0.036
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1 season,NA,SDA,ABA,,71,1055,8.7,0.456,0,0.381,12.5,15.9,14.1,4.8,NA,NA,10.4,11.4,NA,-0.5,1.5,1,0.046
2 seasons,NA,BOS,NBA,,63,415,8,0.381,NA,0.478,NA,NA,13.9,5.2,NA,NA,NA,NA,NA,-1,0.7,-0.3,-0.036
