,,,,,,,Position Estimate,Position Estimate,Position Estimate,Position Estimate,Position Estimate,+/- Per 100 Poss.,+/- Per 100 Poss.,Turnovers,Turnovers,Fouls Committed,Fouls Committed,Fouls Drawn,Fouls Drawn,Misc.,Misc.,Misc.
Season,Age,Tm,Lg,Pos,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd
2017-18,20,POR,NBA,PF,27,189,,,3%,95%,2%,+0.1,-2.9,2,4,17,4,10,2,35,4,4
2018-19,21,TOT,NBA,PF,21,178,,,,87%,13%,-17.3,-19.2,3,5,16,6,5,3,27,1,6
2018-19,21,POR,NBA,PF,18,145,,,,97%,3%,-21.3,-26.2,2,5,13,5,4,1,18,1,6
2018-19,21,SAC,NBA,PF,3,33,,,,42%,59%,+0.2,+1.2,1,0,3,1,1,2,9,0,0
2019-20,22,TOT,NBA,PF,27,288,,,,10%,90%,-6.3,-4.8,20,5,26,8,3,4,76,1,2
2019-20,22,SAC,NBA,PF,7,23,,,,29%,72%,-31.0,-29.2,5,0,4,1,0,0,6,0,0
2019-20,22,POR,NBA,PF,20,265,,,,8%,92%,-3.9,-2.7,15,5,22,7,3,4,70,1,2
Career,,,NBA,,75,655,,,1%,55%,44%,-7.5,-8.2,25,14,59,18,18,9,138,6,12
,,,,,,,,,,,,,,,,,,,,,,
3 seasons,,POR,NBA,,65,599,,,1%,57%,42%,-6.9,-8.4,19,14,52,16,17,7,123,6,12
2 seasons,,SAC,NBA,,10,56,,,,36%,64%,-12.6,-11.3,6,0,7,2,1,2,15,0,0
