,,,,,,,Position Estimate,Position Estimate,Position Estimate,Position Estimate,Position Estimate,+/- Per 100 Poss.,+/- Per 100 Poss.,Turnovers,Turnovers,Fouls Committed,Fouls Committed,Fouls Drawn,Fouls Drawn,Misc.,Misc.,Misc.
Season,Age,Tm,Lg,Pos,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd
2016-17,22,BOS,NBA,PG,5,17,64%,36%,,,,+7.0,+3.9,0,0,0,0,1,0,6,0,0
2017-18,23,TOT,NBA,PG,15,80,63%,35%,2%,,,-23.3,-30.3,6,3,4,0,1,0,21,0,3
2017-18,23,HOU,NBA,PG,12,63,53%,45%,3%,,,-20.5,-29.6,6,2,3,0,0,0,12,0,2
2017-18,23,PHI,NBA,PG,3,17,100%,,,,,-31.8,-36.6,0,1,1,0,1,0,9,0,1
2018-19,24,PHI,NBA,PG,6,39,100%,,,,,-14.4,-17.5,0,0,2,0,0,0,14,0,1
Career,,,NBA,,26,136,74%,25%,1%,,,-17.0,-22.3,6,3,6,0,2,0,41,0,4
,,,,,,,,,,,,,,,,,,,,,,
1 season,,HOU,NBA,,12,63,53%,45%,3%,,,-20.5,-29.6,6,2,3,0,0,0,12,0,2
2 seasons,,PHI,NBA,,9,56,100%,,,,,-19.7,-23.3,0,1,3,0,1,0,23,0,2
1 season,,BOS,NBA,,5,17,64%,36%,,,,+7.0,+3.9,0,0,0,0,1,0,6,0,0
