Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3
Demetrius Jackson,,0.2,0.1,-0.1
Gary Payton,59.0,0.2,0.1,-0.2
Dave Jamerson,58.4,0.2,0.1,-0.1
Charles Bradley,48.5,0.2,0.2,-0.1
Mike Price,47.9,0.2,0.2,0.1
Jay Arnette,47.1,0.1,0.1,-0.1
A.J. Guyton,47.1,0.3,0.1,-0.1
Brad Holland,43.5,0.3,0.1,-0.1
Awvee Storey,43.5,0.2,0.1,0
Russ Lee,40.4,0.3,0.2,0
Dwight Buycks,38.6,0.2,0.1,0
