Thru 9 Years,Thru 9 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9
Wil Jones,,7.4,6.9,6,5.4,4,3.7,2.3,0.9,0.6
Jeff Foster,90.4,8.3,6.5,5.7,5.4,4.5,4.2,2.7,1.6,0.6
Campy Russell,90.3,6.7,6.7,6.6,5.5,4.3,3.2,1.8,1.1,-0.1
Jamal Mashburn,90.2,7.3,6.4,6.3,4.1,3.6,3.4,1.8,0.9,0.2
Cazzie Russell,90.2,7.3,7.1,5.9,5.2,5.2,4.1,2.2,2,1.8
Amir Johnson,90.1,7.3,6.3,5.6,4.5,4,3,2.7,0.5,0.2
Tobias Harris,90.0,7.1,6.8,6.7,6.6,4.8,4.1,2.4,0.9,NA
Lonnie Shelton,89.7,7.5,5.9,5.8,5.1,4.8,4.6,2.1,0.9,0.1
Kenneth Faried,89.6,7.8,6.5,5.6,5.5,4.6,4.5,2.9,1.3,NA
Ed Pinckney,89.3,7.5,6.2,6.1,4.7,4,2.9,2.7,2.3,0.3
Jim Pollard,89.2,7.2,5.7,5.7,5.4,4.6,4.2,2.1,NA,NA
