Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11
Wil Jones,,7.4,6.9,6,5.4,4,3.7,2.3,0.9,0.6,NA,NA
Campy Russell,90.3,6.7,6.7,6.6,5.5,4.3,3.2,1.8,1.1,-0.1,NA,NA
Loy Vaught,90.3,6.3,6.3,5.5,5.5,4.2,4.1,2.2,1,0.5,0.2,-0.2
Lonnie Shelton,90.2,7.5,5.9,5.8,5.1,4.8,4.6,2.1,0.9,0.5,0.1,NA
Tobias Harris,90.0,7.1,6.8,6.7,6.6,4.8,4.1,2.4,0.9,NA,NA,NA
Kenneth Faried,89.6,7.8,6.5,5.6,5.5,4.6,4.5,2.9,1.3,NA,NA,NA
Jim Pollard,89.2,7.2,5.7,5.7,5.4,4.6,4.2,2.1,NA,NA,NA,NA
Gus Johnson,88.4,7.2,5.9,5.3,5.1,5,3.5,2.2,1.6,0.9,0.1,NA
Raef LaFrentz,88.3,7.5,6.8,6.4,5.9,5.8,4.3,1.2,0.9,0.5,0.2,NA
Chris Mills,86.7,8.9,7.8,5.4,5.1,4,3,1.9,1.2,0.3,0.1,NA
Carl Landry,86.3,7.7,6.2,5.9,4.1,3.7,2.9,2.8,2.1,0.4,NA,NA
