Thru 11 Years,Thru 11 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11
John Bagley,,4.6,3,2.6,2.6,1.9,1.1,0.9,0.4,0,-0.2,-0.3
Bob Hansen,88.3,4.4,2.8,2.6,2.5,1.7,0.9,0.7,-0.1,-0.1,NA,NA
Jamaal Tinsley,87.9,4.4,3.7,2.8,2.8,1.7,0.9,0.8,0.7,0.1,-0.3,-0.3
Fatty Taylor,87.6,3.7,3,2.6,2.6,2.1,1.3,1.2,0.4,NA,NA,NA
Todd Day,86.5,4.8,3.2,2.6,2.5,2.1,1.9,0.3,0.1,NA,NA,NA
Devean George,86.0,4.2,3.4,2.7,2.6,2.1,1.3,0.7,0.7,0.6,0.3,-0.3
Tim Hardaway,83.7,4.8,3.1,2.6,1.9,1.8,0.8,NA,NA,NA,NA,NA
Marquis Daniels,83.5,4.2,3.2,2.5,2,1.3,1.3,0.9,0.6,0.5,0.1,NA
Carlos Arroyo,83.1,4.7,3.7,2.8,2.7,2.5,1.7,1.3,0.4,0.3,NA,NA
Keith Bogans,82.9,4.9,3.6,2.6,2.5,2.3,1.7,1.4,1.3,0.1,0.1,0
Wayne Ellington,82.8,4.5,3.3,3.2,2.6,1.2,0.8,0.8,0.7,0.4,0.3,NA
