Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
Dave Budd,,4.1,3.2,2.3,1.2,0.9,NA,NA,NA
Dwight Davis,90.9,3.7,3.3,2.3,1.5,0.6,NA,NA,NA
Marv Roberts,90.3,4.3,3.4,2.4,1.2,0.4,-0.2,NA,NA
T.J. Warren,89.7,4.1,3.4,2.2,2.1,1.1,NA,NA,NA
Stacey King,88.4,3.6,3.1,1.9,1.5,0.9,0.1,0,-0.2
Collis Jones,88.3,4.2,3.2,2.1,1.2,NA,NA,NA,NA
Derrek Dickey,88.0,3.8,3.1,2.3,1.7,0.3,NA,NA,NA
Reggie Johnson,87.3,3.9,3,2.4,1.6,NA,NA,NA,NA
Eddie Griffin,87.1,3.9,3.2,2.4,1.5,-0.2,NA,NA,NA
Chuck Cooper,86.4,3.3,3.1,2.4,1.7,1.1,0,NA,NA
Jahidi White,86.1,3.3,3.2,2.1,1.2,0.6,0.2,-0.1,NA
