Thru 5 Years,Thru 5 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Dave Budd,,4.1,3.2,2.3,1.2,0.9
Bingo Smith,93.9,4.2,3.3,2.4,1.6,1.1
Scott Williams,93.9,3.9,3.1,2.3,1.7,0.9
Marv Roberts,91.9,4.3,3.4,2.4,1.2,0.4
Brandan Wright,91.1,4.1,3.5,1.9,1.1,0.8
Dwight Davis,90.9,3.7,3.3,2.3,1.5,0.6
Phil Jackson,90.6,4.2,3.2,2.5,1.7,0.5
Stacey King,89.9,3.6,3.1,1.9,1.5,0.9
T.J. Warren,89.7,4.1,3.4,2.2,2.1,1.1
Ron Anderson,89.2,4.4,3.1,2.5,1.5,0.3
Danny Ferry,89.0,3.9,3.6,1.7,1.3,1
