Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,TOV%,USG%,,OWS,DWS,WS,WS/48
1967-68,25,TOT,TOT,C,72,1850,12.9,0.448,0.011,0.31,NA,NA,14.8,11.6,16.6,14.9,NA,0.3,2.8,3.1,0.081
1967-68,25,TOT,ABA,C,70,1843,13,0.449,0.011,0.31,NA,NA,14.8,11.6,16.6,14.9,NA,0.3,2.8,3.1,0.081
1967-68,25,NYK,NBA,C,2,7,0,0,NA,0,NA,NA,NA,15.4,NA,NA,NA,0,0,0,-0.117
1967-68,25,NJA,ABA,C,12,261,6.2,0.37,0,0.333,NA,NA,14.4,5.5,20.1,13.3,NA,-0.3,0.3,0,-0.006
1967-68,25,KEN,ABA,C,58,1582,14.1,0.46,0.013,0.307,NA,NA,14.9,12.6,16.1,15.2,NA,0.6,2.5,3.2,0.096
1968-69,26,KEN,ABA,C,65,1235,13.5,0.482,0.024,0.339,NA,NA,14.9,14.9,18.1,16,NA,0.5,2.1,2.6,0.102
Career,NA,,TOT,,137,3085,13.2,0.462,0.016,0.322,NA,NA,14.8,12.9,17.2,15.4,NA,0.8,4.9,5.7,0.089
,NA,,ABA,,135,3078,13.2,0.463,0.016,0.322,NA,NA,14.8,12.9,17.2,15.4,NA,0.8,4.9,5.7,0.089
,NA,,NBA,,2,7,0,0,NA,0,NA,NA,NA,15.4,NA,NA,NA,0,0,0,-0.117
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2 seasons,NA,KEN,ABA,,123,2817,13.8,0.47,0.018,0.321,NA,NA,14.9,13.6,17,15.6,NA,1.1,4.6,5.8,0.098
1 season,NA,NJA,ABA,,12,261,6.2,0.37,0,0.333,NA,NA,14.4,5.5,20.1,13.3,NA,-0.3,0.3,0,-0.006
1 season,NA,NYK,NBA,,2,7,0,0,NA,0,NA,NA,NA,15.4,NA,NA,NA,0,0,0,-0.117
