Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,TOV,PF,PTS
1967-68,25,TOT,TOT,C,72,NA,1850,223,536,0.416,1,6,0.167,222,530,0.419,0.417,99,166,0.596,NA,NA,629,148,121,235,546
1967-68,25,TOT,ABA,C,70,NA,1843,223,535,0.417,1,6,0.167,222,529,0.42,0.418,99,166,0.596,NA,NA,628,147,121,234,546
1967-68,25,NYK,NBA,C,2,NA,7,0,1,0,NA,NA,NA,0,1,0,0,0,0,NA,NA,NA,1,1,NA,1,0
1967-68,25,NJA,ABA,C,12,NA,261,23,66,0.348,0,0,NA,23,66,0.348,0.348,10,22,0.455,NA,NA,85,11,19,29,56
1967-68,25,KEN,ABA,C,58,NA,1582,200,469,0.426,1,6,0.167,199,463,0.43,0.428,89,144,0.618,NA,NA,543,136,102,205,490
1968-69,26,KEN,ABA,C,65,NA,1235,167,381,0.438,1,9,0.111,166,372,0.446,0.44,87,129,0.674,133,290,423,130,97,211,422
Career,NA,,TOT,,137,NA,3085,390,917,0.425,2,15,0.133,388,902,0.43,0.426,186,295,0.631,133,290,1052,278,218,446,968
,NA,,ABA,,135,NA,3078,390,916,0.426,2,15,0.133,388,901,0.431,0.427,186,295,0.631,133,290,1051,277,218,445,968
,NA,,NBA,,2,NA,7,0,1,0,NA,NA,NA,0,1,0,0,0,0,NA,NA,NA,1,1,NA,1,0
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2 seasons,NA,KEN,ABA,,123,NA,2817,367,850,0.432,2,15,0.133,365,835,0.437,0.433,176,273,0.645,133,290,966,266,199,416,912
1 season,NA,NJA,ABA,,12,NA,261,23,66,0.348,0,0,NA,23,66,0.348,0.348,10,22,0.455,NA,NA,85,11,19,29,56
1 season,NA,NYK,NBA,,2,NA,7,0,1,0,NA,NA,NA,0,1,0,0,0,0,NA,NA,NA,1,1,NA,1,0
