,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,TOV,PF,PTS
1967-68,25,NYK,NBA,,0,1,,,,,0,0,,,1,1,,1,0
1967-68,25,NJA,ABA,,6,,0,,,,4,6,,,,,,,14
1967-68,25,KEN,ABA,,12,,1,,,,8,12,,,,,,,27
1967-68,25,TOT,ABA,,12,,1,,,,8,12,,,,,,,27
1968-69,26,KEN,ABA,,9,,1,,,,9,9,,,,,,,21
Career,,,TOT,,12,,,,,,9,12,,,,,,,27
,,,NBA,,0,1,,,,,0,0,,,1,1,,1,0
,,,ABA,,12,,1,,,,9,12,,,,,,,27
,,,,,,,,,,,,,,,,,,,
2 Seasons,,KEN,ABA,,12,,1,,,,9,12,,,,,,,27
1 Season,,NJA,ABA,,6,,0,,,,4,6,,,,,,,14
1 Season,,NYK,NBA,,0,1,,,,,0,0,,,1,1,,1,0
