Thru 7 Years,Thru 7 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
Lionel Simmons,,4.3,3.8,3.8,2.7,1.1,0.9,0.3
Frank Brickowski,90.1,4.7,4.1,3.8,3.6,1.1,1,0.4
Ronny Turiaf,89.1,4.2,3.6,3.2,3.1,1.4,0.8,0.4
Popeye Jones,87.8,4.2,3.7,3.6,3.6,0.6,0.5,0.3
Eduardo Nájera,87.5,4.8,4,4,2.7,1.6,1.1,1.1
Kenny Gattison,86.9,4.5,3.5,3.2,3,1.5,0.7,0
Luc Mbah a Moute,86.9,4.8,4.7,4,2.4,1.1,1,0.5
Shandon Anderson,86.5,4.9,4.2,3.9,2.7,2,1.2,0.4
Terrence Ross,86.2,4.3,4.2,3.6,3.5,2.4,0.9,0.3
Bill Calhoun,86.0,4.5,4.1,3.9,2.2,2.1,1.4,0.4
Len Chappell,85.5,4.7,3.7,3.6,3.2,0.5,0.1,0.1
