Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10
Lionel Simmons,,4.3,3.8,3.8,2.7,1.1,0.9,0.3,NA,NA,NA
Kenny Gattison,87.1,4.5,3.5,3.2,3,1.5,0.7,0.5,0.1,0,NA
Terrence Ross,86.2,4.3,4.2,3.6,3.5,2.4,0.9,0.3,NA,NA,NA
Bill Calhoun,86.0,4.5,4.1,3.9,2.2,2.1,1.4,0.4,NA,NA,NA
Paul Griffin,85.4,4.9,4.4,4.1,2.9,1.6,1.4,0.4,NA,NA,NA
Craig Smith,85.2,3.9,3.5,3.1,3,1.5,1,NA,NA,NA,NA
Kenny Walker,85.1,4.7,4,3.1,2.7,1.9,1.3,0.1,NA,NA,NA
Jarron Collins,83.8,4.2,3.9,3.3,1.3,1.1,1,0.7,0.2,0.1,-0.1
Tyler Hansbrough,83.7,4.4,3.9,3.8,3.4,3,1,0.7,NA,NA,NA
Cornell Warner,82.9,4.7,4.3,3.5,1.7,0.6,0.6,0.3,NA,NA,NA
Jared Sullinger,82.8,4.8,4,3.9,2.7,-0.1,NA,NA,NA,NA,NA
