,,,,,,,Position Estimate,Position Estimate,Position Estimate,Position Estimate,Position Estimate,+/- Per 100 Poss.,+/- Per 100 Poss.,Turnovers,Turnovers,Fouls Committed,Fouls Committed,Fouls Drawn,Fouls Drawn,Misc.,Misc.,Misc.
Season,Age,Tm,Lg,Pos,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd
2016-17,24,UTA,NBA,PG,9,60,100%,,,,,-10.7,-6.9,1,2,5,0,0,2,8,0,0
2017-18,25,UTA,NBA,PG,8,72,92%,8%,,,,+6.1,+9.2,3,0,2,0,2,3,23,0,4
2018-19,26,UTA,NBA,PG,3,20,100%,,,,,-47.4,-42.1,0,0,0,0,0,0,2,0,0
Career,,,NBA,,20,152,96%,4%,,,,-7.6,-3.9,4,2,7,0,2,5,33,0,4
,,,,,,,,,,,,,,,,,,,,,,
3 seasons,,UTA,NBA,,20,152,96%,4%,,,,-7.6,-3.9,4,2,7,0,2,5,33,0,4
