Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Raul Neto,,1.8,1.1,0.9,0.7,NA
Sergio Rodríguez,93.5,1.7,1.2,0.9,0.7,-0.2
Mike Davis,86.3,2.2,1.2,0.9,0.6,NA
Lloyd Walton,85.4,1.9,1.1,1.1,1.1,0.1
Justin Anderson,84.9,1.9,1.2,1.1,0.4,NA
Mo Layton,84.1,1.9,1.1,1,0.3,0.1
Donnie Butcher,82.7,1.9,1.2,1.1,0.5,-0.3
Todd Lichti,81.5,1.8,1.3,1.2,1,0.2
Corky Devlin,81.4,1.8,1.2,0.8,NA,NA
John Warren,79.4,1.7,0.9,0.8,0.5,0.3
Dirk Minniefield,77.2,1.9,1.1,1.1,NA,NA
