Thru 4 Years,Thru 4 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Raul Neto,,1.8,1.1,0.9,0.7
Al Bianchi,88.8,1.8,1.5,0.8,0.8
Kevin Stacom,87.4,1.8,0.9,0.8,0.6
Lloyd Walton,86.9,1.9,1.1,1.1,1.1
Mike Davis,86.3,2.2,1.2,0.9,0.6
Jerry Reynolds,86.3,1.6,1.3,1,0.9
Todd Lichti,85.4,1.8,1.3,1.2,1
Justin Anderson,84.9,1.9,1.2,1.1,0.4
Brook Steppe,83.9,1.3,1.1,1,0.7
Joe Hassett,82.8,2,1.4,0.9,0.5
Corky Devlin,81.4,1.8,1.2,0.8,NA
