Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12
Marcus Morris,,5.4,4.5,4.2,4,3.9,3.2,1.8,-0.2,NA,NA,NA,NA
Louis Orr,93.1,4.8,4.3,4.3,3.8,3.7,3.5,1.5,-0.2,NA,NA,NA,NA
Walter Simon,89.8,6.1,4.8,4.5,4.1,3.4,2.7,2,NA,NA,NA,NA,NA
Ken Norman,87.4,5.2,4.8,4,4,3.2,2.9,1.9,1.1,0.6,-0.6,NA,NA
P.J. Tucker,87.3,6.1,5,4.9,3.9,3.6,3.5,2.9,0.1,NA,NA,NA,NA
Harrison Barnes,87.0,6.7,4.9,4.6,3.8,3.6,3.2,2.8,NA,NA,NA,NA,NA
Al-Farouq Aminu,84.6,5.8,4.2,4,3.3,3.1,3.1,1.9,1.4,0.7,NA,NA,NA
Austin Croshere,83.6,5.4,4.1,4.1,3.4,3.2,2.6,2,1.3,1.1,0.3,0.1,0
Michael Smith,83.5,5.4,3.7,3.6,3.3,3.1,2.3,2.1,NA,NA,NA,NA,NA
John Block,83.4,5.5,5.1,4.2,4.2,4.1,4.1,3.1,2.3,0.2,0,NA,NA
Phil Hubbard,83.4,5.7,4.6,4.5,3.4,3.3,2.7,2.6,1.6,0.4,0.2,NA,NA
