Thru 8 Years,Thru 8 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
Marcus Morris,,5.4,4.5,4.2,4,3.9,3.2,1.8,-0.2
Louis Orr,93.1,4.8,4.3,4.3,3.8,3.7,3.5,1.5,-0.2
Ken Norman,91.6,5.2,4.8,4,4,3.2,2.9,1.9,0.6
John Block,91.1,5.5,5.1,4.2,4.2,4.1,4.1,2.3,0.2
Stephen Jackson,90.1,4.8,4.6,4.4,4.4,4.1,3.1,0.9,-0.1
Walter Simon,89.8,6.1,4.8,4.5,4.1,3.4,2.7,2,NA
Chuck Person,89.7,5.4,5.4,4.6,3.9,3.3,3,1.2,0
Phil Hubbard,89.3,5.7,4.6,4.5,3.4,3.3,2.6,1.6,0.2
Johnny Newman,89.3,6.7,4.5,4.1,3.7,3.7,3.1,2.3,0.3
Chris Gatling,88.8,4.6,4.5,3.9,3.9,3.1,2.4,2,-0.1
Kurt Rambis,87.6,4.8,4.3,4.3,4.1,3.9,2.6,2.3,1.5
