,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,FT,FTA,TRB,AST,PF,PTS
1946-47,23,NYK,BAA,,9,,6,,,,,22
1947-48,24,NYK,BAA,,9,,9,,,,,25
1948-49,25,TOT,BAA,,8,,7,9,,,,19
1948-49,25,NYK,BAA,,8,,4,9,,,,19
1948-49,25,INJ,BAA,,8,,7,9,,,,19
1949-50,26,BLB,NBA,,6,,7,,,,,16
1950-51,27,TOT,NBA,,6,,5,,,,,13
1950-51,27,BLB,NBA,,5,,3,5,,,,11
1950-51,27,WSC,NBA,,3,,4,5,,,,8
1950-51,27,TRI,NBA,,6,,5,,,,,13
Career,,,TOT,,9,,9,,,,,25
,,,NBA,,6,,7,,,,,16
,,,BAA,,9,,9,,,,,25
,,,,,,,,,,,,
3 Seasons,,NYK,BAA,,9,,9,,,,,25
2 Seasons,,BLB,NBA,,6,,7,,,,,16
1 Season,,INJ,BAA,,8,,7,9,,,,19
1 Season,,TRI,NBA,,6,,5,,,,,13
1 Season,,WSC,NBA,,3,,4,5,,,,8
