Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,,OWS,DWS,WS,WS/48
1946-47,23,NYK,BAA,NA,60,NA,NA,0.347,0.274,NA,NA,NA,NA,NA,2.8,1.3,4,NA
1947-48,24,NYK,BAA,NA,47,NA,NA,0.328,0.251,NA,NA,NA,NA,NA,0.6,1.1,1.7,NA
1948-49,25,TOT,BAA,NA,57,NA,NA,0.349,0.284,NA,NA,NA,NA,NA,-0.5,1.4,0.9,NA
1948-49,25,NYK,BAA,NA,35,NA,NA,0.327,0.3,NA,NA,NA,NA,NA,-0.7,0.8,0.1,NA
1948-49,25,INJ,BAA,NA,22,NA,NA,0.372,0.267,NA,NA,NA,NA,NA,0.2,0.6,0.8,NA
1949-50,26,BLB,NBA,NA,53,NA,NA,0.362,0.312,NA,NA,NA,NA,NA,-0.5,0.9,0.3,NA
1950-51,27,TOT,NBA,NA,47,NA,NA,0.357,0.315,NA,NA,NA,NA,NA,-0.8,0.6,-0.2,NA
1950-51,27,BLB,NBA,NA,16,NA,NA,0.401,0.28,NA,NA,NA,NA,NA,0,0.2,0.2,NA
1950-51,27,WSC,NBA,NA,12,NA,NA,0.26,0.415,NA,NA,NA,NA,NA,-0.7,0.1,-0.6,NA
1950-51,27,TRI,NBA,NA,19,NA,NA,0.379,0.284,NA,NA,NA,NA,NA,-0.1,0.3,0.2,NA
Career,NA,,TOT,NA,264,NA,NA,0.348,0.284,NA,NA,NA,NA,NA,1.5,5.2,6.7,NA
,NA,,BAA,NA,164,NA,NA,0.342,0.271,NA,NA,NA,NA,NA,2.8,3.7,6.5,NA
,NA,,NBA,NA,100,NA,NA,0.36,0.313,NA,NA,NA,NA,NA,-1.3,1.4,0.1,NA
,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3 seasons,NA,NYK,BAA,NA,142,NA,NA,0.337,0.272,NA,NA,NA,NA,NA,2.6,3.2,5.8,NA
2 seasons,NA,BLB,NBA,NA,69,NA,NA,0.37,0.306,NA,NA,NA,NA,NA,-0.5,1,0.6,NA
1 season,NA,INJ,BAA,NA,22,NA,NA,0.372,0.267,NA,NA,NA,NA,NA,0.2,0.6,0.8,NA
1 season,NA,TRI,NBA,NA,19,NA,NA,0.379,0.284,NA,NA,NA,NA,NA,-0.1,0.3,0.2,NA
1 season,NA,WSC,NBA,NA,12,NA,NA,0.26,0.415,NA,NA,NA,NA,NA,-0.7,0.1,-0.6,NA
