Thru 5 Years,Thru 5 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Tommy Byrnes,,4,1.7,0.9,0.3,-0.2
Boštjan Nachbar,91.7,4.1,1.7,0.8,0.1,-0.1
Brian Skinner,90.2,4.1,1.9,0.9,0.3,0.1
Harthorne Wingo,87.8,3.9,1.4,0.9,0,NA
Andy Johnson,83.2,4.6,1.8,1.3,0.3,NA
Reggie Williams,83.0,3.7,1.7,0.3,0.3,0
Barney Cable,81.5,3.3,1.6,0.7,0.4,0.1
Mike Sweetney,80.8,3.8,2.1,1.4,0.4,NA
Willie Reed,80.6,3.6,1.5,1.2,NA,NA
Bruce Bowen,79.7,4.2,2.2,1.2,0,0
Darius Miller,79.5,3,1.6,0.8,0.5,-0.1
