,,,,,,,Position Estimate,Position Estimate,Position Estimate,Position Estimate,Position Estimate,+/- Per 100 Poss.,+/- Per 100 Poss.,Turnovers,Turnovers,Fouls Committed,Fouls Committed,Fouls Drawn,Fouls Drawn,Misc.,Misc.,Misc.
Season,Age,Tm,Lg,Pos,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd
2000-01,27,POR,NBA,PG,82,2655,100%,,,,,+6.8,+7.0,89,51,37,14,50,0,992,12,53
2001-02,28,POR,NBA,PG,75,2796,100%,,,,,+4.0,+1.2,81,41,52,10,44,0,1096,14,41
2002-03,29,POR,NBA,PG,59,1315,100%,,,,,+4.2,+1.9,47,28,23,2,21,0,458,2,21
2003-04,30,POR,NBA,PG,82,3118,100%,,,,,-2.4,-3.8,102,55,79,6,35,0,1072,5,38
2004-05,31,POR,NBA,PG,81,2762,100%,,,,,-4.3,+1.0,95,47,47,9,54,0,991,15,48
2005-06,32,MEM,NBA,PG,27,862,100%,,,,,+5.1,+0.8,29,14,23,2,11,1,290,4,20
2006-07,33,MEM,NBA,PG,62,1501,92%,8%,,,,-7.6,-3.3,58,19,37,3,15,10,675,1,22
2007-08,34,TOT,NBA,PG,60,1037,100%,,,,,-4.8,-4.6,44,19,34,4,6,9,380,1,21
2007-08,34,MEM,NBA,PG,29,624,100%,,,,,-3.3,+4.0,28,10,23,3,4,5,255,1,10
2007-08,34,SAS,NBA,PG,31,413,100%,,,,,-7.3,-14.2,16,9,11,1,2,4,125,0,11
Career,,,NBA,,528,16046,99%,1%,,,,+0.2,+0.4,545,274,332,50,236,20,5954,54,264
,,,,,,,,,,,,,,,,,,,,,,
5 seasons,,POR,NBA,,379,12646,100%,,,,,+1.2,+1.2,414,222,238,41,204,0,4609,48,201
3 seasons,,MEM,NBA,,118,2987,96%,4%,,,,-3.1,-0.6,115,43,83,8,30,16,1220,6,52
1 season,,SAS,NBA,,31,413,100%,,,,,-7.3,-14.2,16,9,11,1,2,4,125,0,11
