Thru 10 Years,Thru 10 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10
John Battle,,4,3.2,2.3,2,1.7,1.5,1.4,1,0.5,0.2
Dudley Bradley,92.7,3.9,3.1,2.4,1.9,1.7,1.4,1.1,1,0,NA
Jim King,90.6,3.7,3.5,2.5,2.3,1.5,1.5,1.3,1.1,0.4,-0.1
Frank Johnson,90.1,4.3,3,2.1,1.9,1.6,1.5,1.2,0.6,0.5,0.5
Marquis Daniels,88.6,4.2,3.2,2.5,2,1.3,1.3,0.9,0.6,0.5,0.1
Shaun Livingston,88.6,4.4,3.3,2.6,2.4,1.9,1.3,1.3,1.2,0.4,0.1
Clint Richardson,87.6,3.3,3.1,2.4,2.1,1.9,1.8,1.1,1,NA,NA
Sasha Vujačić,85.7,3.7,3.6,2.1,2,1.8,1.4,1.1,0.2,0.1,-0.1
Jerryd Bayless,85.5,4,2.7,2.4,2.4,2.4,2,1.6,1.1,0.3,-0.1
Nick Young,84.3,3.2,2.8,2.5,2.3,1.9,1.4,1.2,1.2,0.4,0.1
Fatty Taylor,83.8,3.7,3,2.6,2.6,2.1,1.3,1.2,0.4,NA,NA
