Thru 10 Years,Thru 10 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10
Larry Kenon,,10,9.5,8.8,7.5,6.2,5.9,5.4,4.1,0.9,0.2
Lamar Odom,90.1,9.7,9.2,8.4,6.9,6.5,4.7,4.7,3.2,2.2,0.7
Happy Hairston,89.8,9.3,9.2,8.8,7.2,7,6.5,5.3,5.1,4.2,0.4
Bernard King,89.4,12.1,9.1,8.7,7.5,7.1,6.5,5.9,2.8,0.4,0
Rodney McCray,88.6,9.4,8.5,7.9,7.6,6.3,5.3,4.6,2.9,2.5,0.9
Mark Aguirre,88.1,9,8.9,8.8,7.2,6.9,5.7,5.5,4.7,4.5,1.9
David Lee,87.8,10.3,9.1,9,7.6,7.4,6.9,6,5,3.2,2.7
Calvin Natt,87.8,10.2,9.8,9.3,8.4,7.1,6.1,4.2,1.1,0.3,0
Antawn Jamison,87.7,9.2,9,8.5,8.2,6.8,6.7,6.4,5.4,2.3,1.4
Hot Rod Williams,87.1,9.2,8.7,7.7,7.5,7.4,5.7,5.3,4.5,2.8,2.4
Terry Dischinger,86.6,11.3,10.3,9.2,5.9,5.8,4.8,3.9,3.8,1.4,NA
