Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Larry Kenon,,10,9.5,8.8,7.5,6.2,5.9,5.4,4.1,0.9,0.2,NA,NA,NA,NA
Rodney McCray,88.6,9.4,8.5,7.9,7.6,6.3,5.3,4.6,2.9,2.5,0.9,NA,NA,NA,NA
Calvin Natt,88.3,10.2,9.8,9.3,8.4,7.1,6.1,4.2,1.1,0.5,0.3,0,NA,NA,NA
Terry Dischinger,86.6,11.3,10.3,9.2,5.9,5.8,4.8,3.9,3.8,1.4,NA,NA,NA,NA,NA
John Drew,85.7,10.6,8.9,8.9,7.9,7.1,6.4,5.5,5.4,4.5,3,0.7,NA,NA,NA
Larry Johnson,85.2,10.1,9.6,8.9,8.5,7.7,6.9,5.1,4.9,4.1,3.9,NA,NA,NA,NA
Jack Marin,85.2,9.1,8.5,8.3,7.5,6.1,5.4,3.9,3.6,3.1,2.5,1.3,NA,NA,NA
Bob Love,84.7,9.9,8.6,7.5,6.3,5.8,5.2,4.5,1,1,0.6,0.2,NA,NA,NA
Sean Elliott,84.6,8.8,8.7,8.4,7.7,6.1,4.6,3.5,3,1.5,1.4,1.4,0.5,NA,NA
Wally Szczerbiak,84.2,8.7,8,7.4,7.3,6.2,5.2,4.5,2.9,1.6,1.6,NA,NA,NA,NA
Gerald Wallace,84.1,11.5,9.5,7.7,6.4,6.2,4.8,4.6,3.1,2.4,1.3,0.9,0.6,0.4,0.1
