Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Ollie Mack,,1.6,1,-0.1,NA,NA,NA
Rod Foster,89.9,1.6,0.9,-0.3,NA,NA,NA
Tracy Jackson,85.1,1.7,0.7,0,NA,NA,NA
Sean Kilpatrick,83.6,1.4,1,0.1,0.1,NA,NA
Mike Flynn,80.4,1.7,0.8,0.3,NA,NA,NA
Bobby Washington,80.2,1.5,0.7,0,NA,NA,NA
Byron Irvin,79.2,1.2,0.9,0,NA,NA,NA
Billy Shepherd,77.3,1.7,1.3,-0.3,NA,NA,NA
Andrew Harrison,75.6,1.7,1.6,-0.1,NA,NA,NA
Lloyd Daniels,74.7,1.8,1.1,0.2,0.1,0,NA
John Jenkins,73.3,1.7,0.9,0.2,0.2,0,-0.1
