Thru 4 Years,Thru 4 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Jabari Smith,,0.7,0.5,0.2,0
Mamadou N'Diaye,76.4,0.8,0.6,0.3,0
Hamed Haddadi,72.4,0.6,0.6,0.4,0
Didier Ilunga-Mbenga,70.9,0.5,0.4,0.1,0
Shawnelle Scott,69.9,0.5,0.4,0.2,0.2
Stojko Vranković,69.9,0.9,0.4,0.1,-0.1
Olumide Oyedeji,66.4,0.4,0.4,0.3,NA
Chris Welp,66.1,0.7,0.3,0,NA
Dave Feitl,63.4,0.5,0.4,0.3,0.2
Daniel Orton,63.2,0.5,0.3,0.3,NA
Keith Closs,62.1,1.1,0.6,0.2,NA
