Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Jabari Smith,,0.7,0.5,0.2,0,NA
Shawnelle Scott,69.9,0.5,0.4,0.2,0.2,NA
Mamadou N'Diaye,67.8,0.8,0.6,0.3,0.2,0
Stojko Vranković,67.7,0.9,0.4,0.1,0,-0.1
Hamed Haddadi,67.4,0.6,0.6,0.4,0.1,0
Olumide Oyedeji,66.4,0.4,0.4,0.3,NA,NA
Chris Welp,66.1,0.7,0.3,0,NA,NA
Kyrylo Fesenko,65.4,0.6,0.3,0.1,0,-0.1
Daniel Orton,63.2,0.5,0.3,0.3,NA,NA
Keith Closs,62.1,1.1,0.6,0.2,NA,NA
Dave Newmark,60.5,0.8,0.7,0.4,NA,NA
