,,,,,,,Position Estimate,Position Estimate,Position Estimate,Position Estimate,Position Estimate,+/- Per 100 Poss.,+/- Per 100 Poss.,Turnovers,Turnovers,Fouls Committed,Fouls Committed,Fouls Drawn,Fouls Drawn,Misc.,Misc.,Misc.
Season,Age,Tm,Lg,Pos,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd
2012-13,24,TOT,NBA,SF,10,54,,50%,49%,,,-1.7,-2.5,1,1,3,0,3,0,2,0,1
2012-13,24,BOS,NBA,SF,6,24,,50%,49%,1%,,-4.7,-4.2,1,1,2,0,2,0,2,0,1
2012-13,24,BRK,NBA,SF,4,30,,50%,50%,,,+1.1,-0.9,0,0,1,0,1,0,0,0,0
Career,,,NBA,,10,54,,50%,49%,,,-1.7,-2.5,1,1,3,0,3,0,2,0,1
,,,,,,,,,,,,,,,,,,,,,,
1 season,,BOS,NBA,,6,24,,50%,49%,1%,,-4.7,-4.2,1,1,2,0,2,0,2,0,1
1 season,,BRK,NBA,,4,30,,50%,50%,,,+1.1,-0.9,0,0,1,0,1,0,0,0,0
