Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
Willy Hernangómez,,3.4,2.6,1.8,NA,NA,NA,NA,NA
Reggie Harding,93.4,3.1,2.6,1.6,0,NA,NA,NA,NA
Bob Hopkins,81.7,3.5,2.7,1.9,1.4,NA,NA,NA,NA
Tarik Black,81.3,3.1,2.4,1.5,0.7,NA,NA,NA,NA
Boban Marjanović,78.4,3.4,3,1.7,1.5,NA,NA,NA,NA
Stanley Roberts,77.6,3.2,2.1,1.8,0.7,0.5,0,-0.1,-0.1
Brad Sellers,76.9,3.3,3.3,2.6,0.4,0.2,0,NA,NA
Željko Rebrača,76.7,3.3,2.4,1.3,0.7,0.5,NA,NA,NA
Lee Knorek,76.5,5.1,2.5,1.7,0,NA,NA,NA,NA
Gene Wiley,75.4,2.8,2.4,1.8,1.3,-0.1,NA,NA,NA
Victor Alexander,75.3,3,2.5,2.3,1.1,-0.1,NA,NA,NA
