Thru 3 Years,Thru 3 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3
Willy Hernangómez,,3.4,2.6,1.8
Steve Hawes,97.1,3.4,2.5,1.9
Eddy Curry,93.8,3.5,3,1.8
Bob Hopkins,93.3,3.5,2.7,1.4
Jim Barnes,93.2,3.4,2.9,2.1
Willie Sojourner,92.1,3.5,3,1.9
Wayne Embry,91.2,3.4,2,1.9
Gene Wiley,89.9,2.8,2.4,1.8
Elden Campbell,89.2,3.3,2.6,1.1
Manute Bol,88.7,3.9,2.4,2
Victor Alexander,88.4,3,2.5,2.3
