Thru 15 Years,Thru 15 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Dwight Howard,,14.4,13.8,13.2,12.9,9.7,8.6,8.3,8,7.7,7.6,7.3,6.8,6.6,3.6,0.6
Bob Lanier,88.3,14.4,12.4,10.6,10.3,10.1,10.1,8.4,7.4,6.8,6.7,6.6,5.9,5.2,2.3,NA
Walt Bellamy,87.2,16.3,14.4,13.7,12.1,11.1,10.4,10.3,9.5,8.8,7.1,6.2,5.4,4.9,0.1,NA
Patrick Ewing,86.3,13.5,13.1,13,10.9,10.6,10,9.8,9.6,8.1,6.8,4.8,3.5,3.3,3.1,3
Jack Sikma,83.8,12.6,9.8,9.7,9.4,8.8,8.6,8.3,8.1,8,7.8,7.4,5.4,5,3.5,NA
Dan Issel,83.7,15.8,13.8,13.5,12.5,11.5,11.1,10.9,10.7,10.5,9.8,9.8,9.3,8.4,6.1,4.3
Moses Malone,83.3,15.4,15.1,14.1,13.7,11.9,11.9,10.7,10.2,9.5,9.4,9.2,8.9,8.7,6.1,1.9
Hakeem Olajuwon,83.0,15.8,14.3,12.4,11.2,10.9,10.7,10.7,10.2,9.8,9.7,9.5,9.1,8.6,6.5,4.5
Dikembe Mutombo,81.8,11.3,10.8,9.9,9.6,9.4,8.8,8.7,8.1,7.9,7.6,4.8,4.7,3.8,3.1,0.8
Robert Parish,81.8,10.9,10.8,10.5,10.5,10,10,9.2,9.2,9,7.8,7.1,6.4,4.8,4.6,4
Wes Unseld,81.7,11.1,10.8,10.7,10.6,10,9.5,8.7,8.4,8.3,6.8,6.2,5.5,3.6,NA,NA
