Thru 7 Years,Thru 7 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
Sam Vincent,,3.3,2.4,2.3,1.1,0.9,0.5,0.3
Gary Neal,86.7,3.5,2.5,1.9,1.4,1,0.6,-0.1
Malik Sealy,86.3,3.2,3.2,2.1,1.2,1.1,0.6,0.2
Lucious Harris,85.6,4.1,2.8,2.1,1.1,0.8,0.6,0.4
J.J. Barea,85.2,3.2,2.2,2.2,1.9,1.2,0.5,0.1
Rick Adelman,84.0,3.4,2.2,1.6,1.3,0.7,0.7,0.1
Wes Matthews,83.7,3,2.6,1.6,1.3,0.7,0.6,0.4
Kevin Ollie,83.7,3.8,2.4,2.4,1.4,0.9,0,-0.1
Anthony Bowie,82.8,2.9,2.5,2,1.6,1.3,0.7,0.5
Sonny Hertzberg,81.6,4,2.5,2.3,1.4,0.7,NA,NA
Armond Hill,81.6,4.2,2.6,2.5,1,0.8,0.5,-0.4
