Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10
Sam Vincent,,3.3,2.4,2.3,1.1,0.9,0.5,0.3,NA,NA,NA
Ennis Whatley,86.9,3.3,2.2,1.9,0.8,0.7,0.6,0,0,0,0
Gary Neal,86.7,3.5,2.5,1.9,1.4,1,0.6,-0.1,NA,NA,NA
Rick Adelman,84.0,3.4,2.2,1.6,1.3,0.7,0.7,0.1,NA,NA,NA
Sonny Hertzberg,81.6,4,2.5,2.3,1.4,0.7,NA,NA,NA,NA,NA
Armond Hill,81.4,4.2,2.6,2.5,1,0.8,0.5,0,-0.4,NA,NA
Quincy Pondexter,81.2,3.2,2.9,1.7,0.9,0.8,0.4,-0.2,NA,NA,NA
Matthew Dellavedova,80.6,3.8,2.1,1.9,1.2,0.5,0.5,NA,NA,NA,NA
Charles Johnson,80.6,3.7,2.8,2.4,1.4,1.1,1,0.9,NA,NA,NA
Si Green,80.4,2.6,2.6,1.6,1,0.8,0.8,0.4,0.1,NA,NA
Ken Charles,80.3,3.3,3,2.3,0.6,0.6,NA,NA,NA,NA,NA
