Thru 4 Years,Thru 4 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Shawn Respert,,0.8,0.7,0.5,0.1
JaKarr Sampson,91.5,0.8,0.6,0.5,0.1
Pearl Washington,88.8,0.7,0.7,0.5,NA
Rodney Buford,77.5,0.8,0.8,0.6,-0.2
Eddie House,76.6,0.9,0.7,0.7,0.4
Keith McLeod,76.3,0.8,0.6,0.3,0.2
Kris Dunn,75.0,0.9,0.6,0.1,NA
Gerald Glass,73.6,0.9,0.5,0.3,0.1
Royal Ivey,73.0,0.7,0.5,0.3,0.2
Yakhouba Diawara,72.8,0.7,0.5,0.5,-0.1
Acie Law,72.3,0.7,0.6,0.4,-0.1
