Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11
James Bailey,,4.9,2.9,2.3,2,1.9,1,0.6,0.4,0.3,NA,NA
Etan Thomas,84.7,4.5,2.7,2.5,1.6,1.6,1.3,0.2,0.2,0.1,NA,NA
Danny Vranes,84.7,4.2,3.4,2.4,2.1,1.8,0.8,0.6,NA,NA,NA,NA
Travis Outlaw,84.6,5.3,3.2,2.3,1.4,1.4,0.9,0.9,0.8,0.3,0,-0.1
Earl Lloyd,84.5,5.2,3.6,2.9,2.4,2.2,1.3,0.7,0.6,0.4,NA,NA
Samaki Walker,82.6,5.3,2.1,2,1.9,1.4,0.7,0.6,0.5,0,-0.1,NA
Glen Davis,82.1,4.9,3.7,2.5,2,1.7,1.6,1.4,0.8,NA,NA,NA
David Benoit,81.4,4.6,3.9,2.3,2,1.6,1.6,0.7,NA,NA,NA,NA
Jon Leuer,81.4,4.5,2.7,2,1.4,1.3,0.9,0.2,0.1,NA,NA,NA
Tyler Zeller,81.4,6.5,2.9,2.6,2,1.7,1,0.3,NA,NA,NA,NA
Jeff Cook,81.0,4.5,3.7,2.4,2.3,2.2,2,0.6,0.1,NA,NA,NA
