Thru 9 Years,Thru 9 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9
James Bailey,,4.9,2.9,2.3,2,1.9,1,0.6,0.4,0.3
Kwame Brown,88.3,4.9,3.6,2.5,1.9,1.9,0.8,0.6,0.6,-0.1
Etan Thomas,84.7,4.5,2.7,2.5,1.6,1.6,1.3,0.2,0.2,0.1
Danny Vranes,84.7,4.2,3.4,2.4,2.1,1.8,0.8,0.6,NA,NA
Earl Lloyd,84.5,5.2,3.6,2.9,2.4,2.2,1.3,0.7,0.6,0.4
Samaki Walker,82.8,5.3,2.1,2,1.9,1.4,0.7,0.6,0.5,-0.1
Glen Davis,82.1,4.9,3.7,2.5,2,1.7,1.6,1.4,0.8,NA
David Benoit,81.4,4.6,3.9,2.3,2,1.6,1.6,0.7,NA,NA
Rasual Butler,81.4,4.6,2.7,2.6,1.7,1.7,1.6,1.2,0.1,-0.1
Jon Leuer,81.4,4.5,2.7,2,1.4,1.3,0.9,0.2,0.1,NA
Tyler Zeller,81.4,6.5,2.9,2.6,2,1.7,1,0.3,NA,NA
