Thru 8 Years,Thru 8 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
Primož Brezec,,4.9,4.6,0.7,0.3,0.2,0.1,0.1,0
Jakob Pöltl,77.1,5.6,5.1,1.6,NA,NA,NA,NA,NA
Isaac Austin,71.6,4,3.6,1.2,0.3,0.3,0.2,0,-0.5
Jamie Feick,69.5,4.8,2.2,0.9,0.2,0.2,NA,NA,NA
Mike Sojourner,69.4,4.7,2.7,0.9,NA,NA,NA,NA,NA
Skip Thoren,68.9,7,4.4,1.6,NA,NA,NA,NA,NA
Fabricio Oberto,68.3,6.1,4.1,1.7,1.1,0.6,0,NA,NA
Joel Przybilla,67.5,4.7,4.3,2.3,1.9,0.6,0.3,0.1,0.1
Ed Johnson,66.5,5.1,2.4,1,NA,NA,NA,NA,NA
Manny Leaks,66.3,7.3,5.2,1.1,0.8,0.2,-0.2,NA,NA
Jerome Whitehead,66.3,5.3,3.6,2.1,1.5,0.3,0.2,0.2,0.1
