Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,PF,PTS
1969-70,25,SEA,NBA,C,1,0,13:00,2,6,0.333,1,1,1,NA,4,0,NA,NA,2,5
Career,NA,,NBA,,1,0,13,2,6,0.333,1,1,1,NA,4,0,NA,NA,2,5
