,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,PF,PTS
1967-68,23,SEA,NBA,,17,,14,17,,,,,,,,47
1968-69,24,SEA,NBA,,16,,17,20,,,,,,,,47
1969-70,25,SEA,NBA,,19,,19,25,,,,,,,,49
1970-71,26,SEA,NBA,,16,31,9,11,,,17,3,,,5,37
1971-72,27,TOT,NBA,,15,,10,13,,,,,,,,36
1971-72,27,SEA,NBA,,7,,3,9,,,,,,,,17
1971-72,27,PHI,NBA,,15,,10,13,,,,,,,,36
1972-73,28,TOT,NBA,,7,14,4,4,,,10,3,,,5,16
1972-73,28,PHI,NBA,,0,1,0,0,,,2,1,,,2,0
1972-73,28,CLE,NBA,,7,14,4,4,,,10,3,,,5,16
1973-74,29,CLE,NBA,,9,18,6,10,,,13,6,,,5,22
1974-75,30,MIL,NBA,,0,1,0,0,0,0,0,2,0,0,2,0
Career,,,,,19,,19,25,,,,,,,,49
5 Seasons,,SEA,NBA,,19,,19,25,,,,,,,,49
2 Seasons,,CLE,NBA,,9,18,6,10,,,13,6,,,5,22
2 Seasons,,PHI,NBA,,15,,10,13,,,,,,,,36
1 Season,,MIL,NBA,,0,1,0,0,0,0,0,2,0,0,2,0
