Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1967-68,23,SEA,NBA,C,82,2424,17.4,0.532,0.455,NA,NA,NA,5.7,NA,NA,NA,5.1,1.4,6.4,0.127,NA,NA,NA,NA,NA
1968-69,24,SEA,NBA,C,82,3104,18.6,0.511,0.366,NA,NA,NA,7.1,NA,NA,NA,5.9,1.9,7.8,0.121,NA,NA,NA,NA,NA
1969-70,25,SEA,NBA,C,80,2959,17.7,0.506,0.318,NA,NA,NA,7.3,NA,NA,NA,3.4,1.8,5.2,0.084,NA,NA,NA,NA,NA
1970-71,26,SEA,NBA,C,4,142,24.2,0.535,0.306,NA,NA,14.8,8.2,NA,NA,NA,0.4,0.1,0.5,0.174,NA,NA,NA,NA,NA
1971-72,27,TOT,NBA,C,76,2230,14.3,0.476,0.317,NA,NA,10.9,7.5,NA,NA,NA,0.6,1.8,2.4,0.052,NA,NA,NA,NA,NA
1971-72,27,SEA,NBA,C,16,243,9,0.395,0.347,NA,NA,10.8,3.6,NA,NA,NA,-0.6,0.1,-0.4,-0.087,NA,NA,NA,NA,NA
1971-72,27,PHI,NBA,C,60,1987,14.9,0.487,0.313,NA,NA,10.9,8,NA,NA,NA,1.2,1.6,2.9,0.069,NA,NA,NA,NA,NA
1972-73,28,TOT,NBA,C,52,452,9.1,0.408,0.196,NA,NA,11.6,11.5,NA,NA,NA,-0.5,0.6,0.1,0.007,NA,NA,NA,NA,NA
1972-73,28,PHI,NBA,C,3,12,0.4,0,0,NA,NA,7.4,9.5,NA,NA,NA,0,0,0,-0.077,NA,NA,NA,NA,NA
1972-73,28,CLE,NBA,C,49,440,9.3,0.41,0.197,NA,NA,11.7,11.5,NA,NA,NA,-0.5,0.6,0.1,0.009,NA,NA,NA,NA,NA
1973-74,29,CLE,NBA,C,26,540,10.8,0.438,0.24,7.7,12.1,9.8,12,1,1,NA,0,0.3,0.3,0.025,NA,-2.3,-0.8,-3.1,-0.2
1974-75,30,MIL,NBA,C,1,11,-0.2,0,0,0,0,0,20.9,0,0,NA,0,0,0,-0.147,NA,-4.6,0,-4.5,0
Career,NA,,NBA,,403,11862,16.6,0.503,0.351,7.6,11.9,10.9,7.3,1,1,NA,14.9,7.8,22.7,0.092,NA,-2.4,-0.7,-3.1,-0.2
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5 seasons,NA,SEA,NBA,,264,8872,17.8,0.512,0.369,NA,NA,12.3,6.7,NA,NA,NA,14.2,5.3,19.5,0.106,NA,NA,NA,NA,NA
2 seasons,NA,CLE,NBA,,75,980,10.1,0.426,0.221,7.7,12.1,10.6,11.8,1,1,NA,-0.5,0.9,0.4,0.018,NA,-2.3,-0.8,-3.1,-0.2
2 seasons,NA,PHI,NBA,,63,1999,14.8,0.487,0.312,NA,NA,10.9,8,NA,NA,NA,1.2,1.6,2.8,0.068,NA,NA,NA,NA,NA
1 season,NA,MIL,NBA,,1,11,-0.2,0,0,0,0,0,20.9,0,0,NA,0,0,0,-0.147,NA,-4.6,0,-4.5,0
