Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12
Bob Rule,,7.8,6.4,5.2,2.4,0.5,0.3,0.1,0,NA,NA,NA,NA
Myles Turner,90.9,8,6.3,4.7,3.1,NA,NA,NA,NA,NA,NA,NA,NA
Don Otten,86.5,8.5,5.8,4.9,1.7,NA,NA,NA,NA,NA,NA,NA,NA
Mike Lewis,81.7,7.9,7.5,4,3.8,1.1,0,NA,NA,NA,NA,NA,NA
Gheorghe Mureșan,81.7,8,5.3,4.1,1.3,0.3,-0.1,NA,NA,NA,NA,NA,NA
Ralph Sampson,81.4,6.2,6,5,2.2,1.1,0.6,-0.2,-0.3,-0.6,NA,NA,NA
Nikola Peković,80.5,6.7,5.9,4.5,1.2,0.6,-0.1,NA,NA,NA,NA,NA,NA
Jamaal Magloire,77.7,7.6,6.7,5.7,2.6,2,1.3,1.1,0.6,0.6,0.3,-0.2,-0.6
Gene Moore,76.8,6.8,5.7,5,4.5,1.9,0.8,0,NA,NA,NA,NA,NA
Andris Biedriņš,75.2,8,6.7,5.4,2.9,2.6,1.6,1.3,1.2,1.1,0,NA,NA
Tom Burleson,72.9,8.2,4.4,4.3,3.3,2.7,0.2,-0.1,NA,NA,NA,NA,NA
