Thru 8 Years,Thru 8 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
Bob Rule,,7.8,6.4,5.2,2.4,0.5,0.3,0.1,0
Myles Turner,90.9,8,6.3,4.7,3.1,NA,NA,NA,NA
Don Otten,86.5,8.5,5.8,4.9,1.7,NA,NA,NA,NA
Mark West,84.1,8.2,6.5,5.5,3.1,1.9,1.1,0.9,-0.1
Jamaal Magloire,84.0,7.6,6.7,5.7,2.6,2,1.1,0.3,-0.6
Ralph Sampson,81.8,6.2,6,5,2.2,1.1,0.6,-0.3,-0.6
Mike Lewis,81.7,7.9,7.5,4,3.8,1.1,0,NA,NA
Gheorghe Mureșan,81.7,8,5.3,4.1,1.3,0.3,-0.1,NA,NA
Nikola Peković,80.5,6.7,5.9,4.5,1.2,0.6,-0.1,NA,NA
Kendrick Perkins,78.8,6.2,5.6,5.2,2.3,1.4,1,0.7,0.1
Andris Biedriņš,77.6,8,6.7,5.4,2.9,2.6,1.6,1.3,1.2
