Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
Michael Young,,1.1,0,0,NA,NA,NA,NA
Chris King,88.5,1.1,0,-0.1,NA,NA,NA,NA
Dwayne Jones,74.3,1.2,0.1,0.1,0,0,NA,NA
Jackie Butler,73.5,1.2,0.1,0.1,NA,NA,NA,NA
Scott English,73.5,1,0,-0.2,NA,NA,NA,NA
Damjan Rudež,73.2,1.3,0.1,0.1,NA,NA,NA,NA
Larry Robinson,72.5,1.1,0,0,0,0,-0.1,-0.1
Ivano Newbill,71.5,1.1,0.1,-0.1,NA,NA,NA,NA
Glenn McDonald,65.8,1.1,0.2,-0.2,NA,NA,NA,NA
Damian Jones,64.5,1.5,0.1,0,NA,NA,NA,NA
Kenny Dennard,61.6,1.1,0.3,0.1,NA,NA,NA,NA
