Thru 3 Years,Thru 3 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3
Michael Young,,1.1,0,0
Chris King,88.5,1.1,0,-0.1
Aaron Williams,87.6,1.1,-0.1,-0.1
Anthony Miller,86.8,1.2,0,-0.1
Dwayne Jones,82.0,1.2,0.1,0
Mark Pope,75.4,1.3,0,-0.1
Jackie Butler,73.5,1.2,0.1,0.1
Scott English,73.5,1,0,-0.2
Bob McCann,73.4,1.3,0.1,0.1
Damjan Rudež,73.2,1.3,0.1,0.1
Ivano Newbill,71.5,1.1,0.1,-0.1
