,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1973-74,24,POR,NBA,,9,15,,,,,9,11,3,5,7,11,6,1,,6,27
1974-75,25,SSL,ABA,,6,,1,,,,8,8,,,,,,,,,16
1974-75,25,NOJ,NBA,,7,,,,,,6,8,,,,,,,,,17
Career,,,TOT,,9,,,,,,9,11,,,,,,,,,27
,,,NBA,,9,,,,,,9,11,,,,,,,,,27
,,,ABA,,6,,1,,,,8,8,,,,,,,,,16
,,,,,,,,,,,,,,,,,,,,,
1 Season,,POR,NBA,,9,15,,,,,9,11,3,5,7,11,6,1,,6,27
1 Season,,NOJ,NBA,,7,,,,,,6,8,,,,,,,,,17
1 Season,,SSL,ABA,,6,,1,,,,8,8,,,,,,,,,16
