Thru 4 Years,Thru 4 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Marcus Haislip,,0.6,0.1,0,-0.2
Amal McCaskill,81.0,0.6,0,0,-0.2
Okaro White,56.8,0.6,0.2,0,NA
Joby Wright,54.3,0.6,0,-0.1,NA
Samardo Samuels,54.0,0.7,0,-0.1,NA
Linton Townes,47.4,0.7,0,-0.1,NA
Alton Ford,39.9,0.8,0.1,-0.1,NA
Brian Quinnett,37.0,0.8,0.1,-0.1,NA
Donny Marshall,35.5,0.6,0.2,0.2,-0.1
Ken Durrett,35.4,0.5,0.1,0,0
Pape Sow,35.4,0.6,0.2,0.1,NA
